behavior,crossing_pedestrian_v,crossing_pedestrian_x,crossing_pedestrian_y,crossing_pedestrian_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_near_x,t
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.472000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.472000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.472000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.472000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.472000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.473
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.473
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.473
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.473
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.473
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.48
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8039615e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.5
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.95286658e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.520000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.68700018e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.540000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.44424344e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.561
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.09129408e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.58
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.09129408e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.600000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.2894019e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.620000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.2317562e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.64
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.65188909e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.66
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.65188909e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.680000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.40861769e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.700000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.40861769e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.72
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.44548907e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.74
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.06717796e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.76
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.06717796e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.780000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.10610675e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.8
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.23262274e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.82
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.32506299e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.84
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.87285003e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.860000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.87285003e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.88
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.6729439e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.9
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.94575091e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.92
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.97271384e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.940000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.97271384e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.96
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,-1.22202252e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.98
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.1006545e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.0
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.14152599e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.020000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.33895936e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.040000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.33895936e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.06
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.06547967e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.081000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.06547967e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.100000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.10648322e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.120000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,8.22348885e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.14
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.16136637e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.16
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.70783512e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.180000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.73085752e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.200000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.30987788e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.22
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.30987788e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.24
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.12623021e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.260000000000002
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.1897514e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.280000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.1897514e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.3
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.75743407e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.321000000000002
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.50984129e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.34
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.64634608e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.360000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.49597917e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.38
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.49597917e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.4
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.65376332e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.42
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.65376332e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.440000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.22879681e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.46
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.45283303e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.48
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.13448907e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.5
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.90849549e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.520000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.76189771e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.540000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.76189771e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.56
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.03934996e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.58
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.03934996e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.600000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,-6.44324139e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.620000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.25490135e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.64
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.25490135e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.66
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.80300886e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.680000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.2607027e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.700000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.2607027e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.72
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.01205748e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.74
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.01205748e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.760000000000002
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.96466705e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.780000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.96466705e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.8
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.44528755e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.82
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.11186714e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.84
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.11186714e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.861
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.48181224e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.88
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.77732004e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.9
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,8.89503079e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.92
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,8.89503079e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.940000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.3295764e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.96
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.13968648e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,11.98
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.69124373e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.0
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.68654009e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.020000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.32601207e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.040000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.32601207e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.06
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.4651676e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.08
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,9.8289157e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.100000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.03350945e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.120000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.14295856e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.14
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.12867237e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.16
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.49383268e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.180000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.25410198e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.201
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.61638376e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.22
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.53137229e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.24
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.53137229e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.260000000000002
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.97890579e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.280000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.97890579e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.3
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.14852412e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.32
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.82206447e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.340000000000002
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.82206447e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.360000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.36598066e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.38
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.43115616e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.4
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.43115616e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.42
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,-3.57597708e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.440000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,-3.57597708e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.46
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.74924174e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.48
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.43249425e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.5
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.09330096e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.520000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.96542466e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.540000000000001
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.90744054e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.56
,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,8.34674667e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,12.58
