behavior,crossing_ids,crossing_pedestrian_v,crossing_pedestrian_x,crossing_pedestrian_y,crossing_pedestrian_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_count,perc_full,perc_near_x,t
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.02689401e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.2:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.361
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.78862171e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.2:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.38
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.78862171e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.2:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.4
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.69832056e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.2:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.42
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.54349951e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.04:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.1:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.440000000000001
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.54349951e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.04:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.1:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.46
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,4.8871461e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.04:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.1:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.48
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.04:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.1:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.5
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.924467e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.04:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.2:0.1:0.01:0;4:43.4:-25.6:6.0:6.0:0.01:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.520000000000001
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,5.3703954e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.1:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.540000000000001
