behavior,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,lead_car_v,lead_car_x,lead_car_y,lead_car_yaw,perc_near_x,t
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.902000000000001
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.902000000000001
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.903
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.903
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.903
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.903
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.903
,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.904
,NO_PATH,8.56565142e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.92
,NO_PATH,1.04637775e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.940000000000001
,NO_PATH,1.04637775e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.96
,NO_PATH,1.68593151e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,8.98
,NO_PATH,1.68593151e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.0
,NO_PATH,9.908125e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.020000000000001
,NO_PATH,-4.70242826e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.040000000000001
,NO_PATH,-4.70242826e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.06
,NO_PATH,-3.48742689e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.08
,NO_PATH,4.56416496e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.101
,NO_PATH,6.65228134e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.120000000000001
,NO_PATH,-3.09368098e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.14
,NO_PATH,1.33677065e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.16
,NO_PATH,1.33677065e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.18
,NO_PATH,6.94321368e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,44.15,9.201
