topic,key,t_s,value
/control/diagnostics,cycle_time_ms,69.36,0.0
/control/diagnostics,cycle_time_ms,69.38,0.0
/control/diagnostics,cycle_time_ms,69.4,0.0
/planning/diagnostics,cycle_ms,69.4,0.047278
/control/diagnostics,cycle_time_ms,69.42,0.0
/control/diagnostics,cycle_time_ms,69.44,0.0
/control/diagnostics,cycle_time_ms,69.46,0.0
/control/diagnostics,cycle_time_ms,69.48,0.0
/planning/diagnostics,cycle_ms,69.5,0.038251
/control/diagnostics,cycle_time_ms,69.5,0.0
/control/diagnostics,cycle_time_ms,69.52,0.0
/control/diagnostics,cycle_time_ms,69.54,0.0
/control/diagnostics,cycle_time_ms,69.56,0.0
/control/diagnostics,cycle_time_ms,69.58,0.0
/planning/diagnostics,cycle_ms,69.6,0.047488
/control/diagnostics,cycle_time_ms,69.6,0.0
/control/diagnostics,cycle_time_ms,69.62,0.0
/control/diagnostics,cycle_time_ms,69.64,0.0
/control/diagnostics,cycle_time_ms,69.66,0.0
/control/diagnostics,cycle_time_ms,69.68,0.0
/planning/diagnostics,cycle_ms,69.7,0.057046
/control/diagnostics,cycle_time_ms,69.7,0.0
/control/diagnostics,cycle_time_ms,69.72,0.0
/control/diagnostics,cycle_time_ms,69.74,0.0
/control/diagnostics,cycle_time_ms,69.76,0.0
/control/diagnostics,cycle_time_ms,69.78,0.0
/planning/diagnostics,cycle_ms,69.8,0.034935
/control/diagnostics,cycle_time_ms,69.8,0.0
/control/diagnostics,cycle_time_ms,69.82,0.0
/control/diagnostics,cycle_time_ms,69.84,0.0
/control/diagnostics,cycle_time_ms,69.86,0.0
/control/diagnostics,cycle_time_ms,69.88,0.0
/planning/diagnostics,cycle_ms,69.9,0.086671
/control/diagnostics,cycle_time_ms,69.9,0.0
/control/diagnostics,cycle_time_ms,69.92,0.0
/control/diagnostics,cycle_time_ms,69.94,0.0
/control/diagnostics,cycle_time_ms,69.96,0.0
/control/diagnostics,cycle_time_ms,69.98,0.0
/planning/diagnostics,cycle_ms,70.0,0.045344
/control/diagnostics,cycle_time_ms,70.0,0.0
/control/diagnostics,cycle_time_ms,70.02,0.0
/control/diagnostics,cycle_time_ms,70.04,0.0
/control/diagnostics,cycle_time_ms,70.06,0.0
/perception/diagnostics,ground_ms,70.0,2.889564
/perception/diagnostics,cluster_ms,70.0,21.784804
/perception/diagnostics,fit_ms,70.0,2.260146
/perception/diagnostics,track_ms,70.0,0.066284
/perception/diagnostics,total_ms,70.0,27.111453
/control/diagnostics,cycle_time_ms,70.08,0.0
/planning/diagnostics,cycle_ms,70.1,0.065161
/control/diagnostics,cycle_time_ms,70.1,0.0
/control/diagnostics,cycle_time_ms,70.12,0.0
/control/diagnostics,cycle_time_ms,70.14,0.0
/control/diagnostics,cycle_time_ms,70.16,0.0
/control/diagnostics,cycle_time_ms,70.18,0.0
/planning/diagnostics,cycle_ms,70.2,0.059922
/control/diagnostics,cycle_time_ms,70.2,0.0
/control/diagnostics,cycle_time_ms,70.221,0.0
/control/diagnostics,cycle_time_ms,70.24,0.0
/control/diagnostics,cycle_time_ms,70.26,0.0
/control/diagnostics,cycle_time_ms,70.28,0.0
/planning/diagnostics,cycle_ms,70.3,0.037289
/control/diagnostics,cycle_time_ms,70.3,0.0
/control/diagnostics,cycle_time_ms,70.32,0.0
/control/diagnostics,cycle_time_ms,70.34,0.0
/control/diagnostics,cycle_time_ms,70.36,0.0
/control/diagnostics,cycle_time_ms,70.38,0.0
/control/diagnostics,cycle_time_ms,70.4,0.0
/planning/diagnostics,cycle_ms,70.4,0.060883
/control/diagnostics,cycle_time_ms,70.42,0.0
/control/diagnostics,cycle_time_ms,70.44,0.0
/control/diagnostics,cycle_time_ms,70.46,0.0
/control/diagnostics,cycle_time_ms,70.48,0.0
/planning/diagnostics,cycle_ms,70.5,0.037079
/control/diagnostics,cycle_time_ms,70.5,0.0
